order_id,customer_id,restaurant_id,partner_id,order_date,order_time,order_amount,delivery_time,rating,payment_amount,created_at,updated_at
ORD01004303,CUST00454,REST0201,DP0287,Jan 13 2025,21:56:29,658.52,45,,658.52,2025-01-13 21:56:29,2025-01-15 09:42:29
ORD01005685,CUST00732,REST0048,DP0482,23/01/2025,20:32:10,473.94,,3.5,473.94,2025-01-23 20:32:10,2025-01-26 19:16:10
ORD01003970,CUST00012,REST0060,DP0059,2025/01/11,12:56:34,,44,4.4,412.04,2025-01-11 12:56:34,2025-01-12 15:15:34
ORD01007648,CUST00619,REST0288,DP0499,Jan 14 2025,20:16:41,583.91,50,4.5,583.91,2025-01-14 20:16:41,2025-01-16 08:24:41
ORD01003534,CUST00374,REST0274,DP0365,20/01/2025,22:30:34,495.95,49,3.5,495.95,2025-01-20 22:30:34,2025-01-23 11:17:34
ORD01004624,CUST00871,REST0011,DPX9152,13/01/2025,14:22:48,587.98,,4.8,587.98,2025-01-13 14:22:48,2025-01-15 19:14:48
ORD01006815,CUST01110,REST0264,DP0323,02/01/2025,21:14:03,672.94,,4.0,672.94,2025-01-02 21:14:03,2025-01-05 21:11:03
ORD01002857,CUST00378,REST0072,DP0113,2025-01-17,14:55:59,,29,3.3,658.95,2025-01-17 14:55:59,2025-01-18 23:31:59
ORD01000111,CUST00314,REST0025,DP0327,2025-01-16,13:16:19,558.25,49,4.2,558.25,2025-01-16 13:16:19,2025-01-16 19:42:19
ORD01005043,CUST00847,REST0204,DP0308,2025/01/08,19:59:52,,34,3.0,426.93,2025-01-08 19:59:52,2025-01-10 06:20:52
ORD01003229,CUST00518,REST0041,DP0280,Jan 20 2025,20:03:18,283.16,74,,283.16,2025-01-20 20:03:18,2025-01-22 02:46:18
ORD01007714,CUST00783,REST0267,DP0221,2025-01-01,20:51:50,,35,3.4,631.3,2025-01-01 20:51:50,2025-01-04 08:47:50
ORD01007482,CUST00595,REST0118,DP0487,2025/01/19,14:30:42,854.13,,5.0,854.13,2025-01-19 14:30:42,2025-01-21 00:50:42
ORD01007179,CUSTX96261,REST0078,DP0013,2025-01-01,16:43:20,,22,,457.15,2025-01-01 16:43:20,2025-01-02 09:35:20
ORD01000014,CUST00049,REST0275,DP0092,2025/01/31,23:57:16,211.7,54,5.0,211.7,2025-01-31 23:57:16,2025-02-01 22:05:16
ORD01006001,CUST00310,REST0284,DP0139,19/01/2025,21:01:20,,74,4.0,205.77,2025-01-19 21:01:20,2025-01-22 16:40:20
ORD01007426,CUST00754,REST0119,DP0366,2025-01-18,12:41:15,475.51,,,475.51,2025-01-18 12:41:15,2025-01-21 01:03:15
ORD01007455,CUSTX91677,REST0043,DP0363,14/01/2025,14:19:13,513.27,37,4.6,513.27,2025-01-14 14:19:13,2025-01-15 15:39:13
ORD01003932,CUST00788,REST0105,DP0113,Jan 14 2025,22:06:00,683.92,30,4.1,683.92,2025-01-14 22:06:00,2025-01-17 18:46:00
ORD01003848,CUST00667,REST0089,DP0401,Jan 05 2025,19:25:28,703.45,40,4.2,703.45,2025-01-05 19:25:28,2025-01-07 06:13:28
ORD01004680,CUST00159,REST0270,DP0479,2025-01-25,19:55:38,772.93,,4.2,772.93,2025-01-25 19:55:38,2025-01-27 09:45:38
ORD01000971,CUST00824,REST0242,DP0393,Jan 30 2025,14:34:25,175.31,34,3.4,175.31,2025-01-30 14:34:25,2025-01-31 16:08:25
ORD01007562,CUSTX98481,REST0019,DP0076,2025-01-12,12:51:09,643.38,51,,643.38,2025-01-12 12:51:09,2025-01-14 10:40:09
ORD01003090,CUST01133,REST0145,DP0243,2025-01-06,16:40:48,516.31,12,,516.31,2025-01-06 16:40:48,2025-01-09 06:42:48
ORD01007873,CUST00407,REST0129,DP0447,2025-01-08,19:48:02,508.54,76,3.0,508.54,2025-01-08 19:48:02,2025-01-11 02:42:02
ORD01004887,CUST00694,REST0231,DP0118,2025/01/15,22:39:59,653.84,,3.3,653.84,2025-01-15 22:39:59,2025-01-18 10:40:59
ORD01007115,CUST00121,REST0282,DP0236,2025/01/10,20:45:10,,45,4.0,365.41,2025-01-10 20:45:10,2025-01-13 10:40:10
ORD01007549,CUST00963,REST0043,DP0313,21/01/2025,21:58:42,558.42,46,4.5,558.42,2025-01-21 21:58:42,2025-01-22 06:08:42
ORD01004216,CUST00255,REST0021,DP0413,2025/01/26,21:22:54,,,5.0,432.32,2025-01-26 21:22:54,2025-01-27 06:52:54
ORD01007027,CUST00632,REST0035,DPX9038,04/01/2025,07:26:04,236.71,55,3.7,236.71,2025-01-04 07:26:04,2025-01-05 03:22:04
ORD01000812,CUST00463,REST0164,DP0094,Jan 20 2025,09:31:41,,56,3.7,486.66,2025-01-20 09:31:41,2025-01-20 12:52:41
ORD01003586,CUST00182,REST0271,DP0370,Jan 16 2025,21:06:00,,66,3.9,377.55,2025-01-16 21:06:00,2025-01-19 03:38:00
ORD01000178,CUST00101,REST0230,DP0355,2025-01-10,21:11:56,735.44,47,,735.44,2025-01-10 21:11:56,2025-01-11 20:25:56
ORD01007261,CUST00688,REST0003,DP0347,24/01/2025,13:28:15,142.33,45,4.2,142.33,2025-01-24 13:28:15,2025-01-25 10:31:15
ORD01002962,CUST00110,REST0211,DP0261,2025-01-04,14:30:19,388.06,36,5.0,388.06,2025-01-04 14:30:19,2025-01-06 18:48:19
ORD01006616,CUST00225,REST0165,DP0461,15/01/2025,14:23:21,635.1,,4.2,635.1,2025-01-15 14:23:21,2025-01-16 11:26:21
ORD01005750,CUST01111,REST0231,DP0217,Jan 01 2025,23:52:13,,27,,317.68,2025-01-01 23:52:13,2025-01-03 20:18:13
ORD01000944,CUST00072,REST0209,DP0300,2025/01/16,19:58:29,187.36,49,3.3,187.36,2025-01-16 19:58:29,2025-01-17 05:15:29
ORD01001034,CUST00437,REST0130,DP0091,2025-01-12,19:04:48,465.09,,5.0,465.09,2025-01-12 19:04:48,2025-01-14 12:36:48
ORD01001099,CUST00618,REST0228,DP0476,2025/01/28,19:51:33,706.21,59,3.1,706.21,2025-01-28 19:51:33,2025-01-28 22:18:33
ORD01006106,CUST00869,REST0041,DP0117,2025-01-27,22:51:28,,30,,377.18,2025-01-27 22:51:28,2025-01-30 12:49:28
ORD01006098,CUST00370,REST0037,DP0038,Jan 20 2025,17:32:22,329.14,44,3.9,329.14,2025-01-20 17:32:22,2025-01-21 04:14:22
ORD01005477,CUST01030,REST0073,DP0015,2025/01/19,19:11:09,,,3.9,430.39,2025-01-19 19:11:09,2025-01-21 07:41:09
ORD01001996,CUST00053,REST0078,DP0416,Jan 06 2025,16:08:43,642.1,,3.1,642.1,2025-01-06 16:08:43,2025-01-08 15:42:43
ORD01002374,CUST01008,REST0075,DP0096,02/01/2025,10:01:30,621.72,53,3.9,621.72,2025-01-02 10:01:30,2025-01-04 17:12:30
ORD01004691,CUST00992,REST0262,DP0393,2025-01-03,08:28:28,645.15,36,,645.15,2025-01-03 08:28:28,2025-01-03 15:53:28
ORD01000452,CUST00174,REST0060,DPX9181,11/01/2025,21:32:25,621.63,,3.7,621.63,2025-01-11 21:32:25,2025-01-12 11:36:25
ORD01004831,CUST00669,REST0063,DP0171,2025-01-13,16:06:29,426.3,30,4.4,426.3,2025-01-13 16:06:29,2025-01-13 19:58:29
ORD01000878,CUST00635,REST0008,DP0411,2025-01-03,22:04:16,723.58,,,723.58,2025-01-03 22:04:16,2025-01-05 09:57:16
ORD01002812,CUST00868,REST0255,DP0450,2025-01-10,19:59:20,506.49,,,506.49,2025-01-10 19:59:20,2025-01-11 04:09:20
ORD01003080,CUST00412,REST0190,DP0063,2025-01-09,13:49:53,553.84,,3.7,553.84,2025-01-09 13:49:53,2025-01-09 16:01:53
ORD01003260,CUST00753,REST0232,DP0087,2025/01/04,13:16:05,455.35,50,3.7,455.35,2025-01-04 13:16:05,2025-01-06 18:59:05
ORD01003163,CUST00601,REST0162,DP0458,Jan 07 2025,16:08:42,,23,,79.0,2025-01-07 16:08:42,2025-01-09 20:14:42
ORD01004593,CUST00841,REST0068,DP0021,Jan 03 2025,15:40:35,,,4.2,124.4,2025-01-03 15:40:35,2025-01-04 10:59:35
ORD01005778,CUST00404,REST0010,DP0075,05/01/2025,20:54:57,450.01,54,3.7,450.01,2025-01-05 20:54:57,2025-01-06 07:14:57
ORD01006593,CUST00991,REST0092,DP0385,Jan 03 2025,08:36:59,,27,4.7,384.92,2025-01-03 08:36:59,2025-01-03 15:42:59
ORD01000854,CUST00486,REST0145,DP0010,2025/01/06,21:40:30,473.68,30,4.3,473.68,2025-01-06 21:40:30,2025-01-08 20:22:30
ORD01001693,CUSTX92562,REST0266,DP0077,2025/01/10,16:56:32,497.38,,,497.38,2025-01-10 16:56:32,2025-01-10 20:16:32
ORD01007107,CUST00043,REST0171,DP0422,2025-01-03,16:25:16,,26,4.5,334.88,2025-01-03 16:25:16,2025-01-04 10:32:16
ORD01002477,CUSTX98043,REST0073,DP0111,Jan 07 2025,22:12:06,779.25,34,5.2,779.25,2025-01-07 22:12:06,2025-01-08 22:19:06
ORD01005776,CUST00692,REST0025,DP0162,2025/01/13,20:52:29,527.63,67,5.0,527.63,2025-01-13 20:52:29,2025-01-14 06:29:29
ORD01003871,CUST00495,REST0129,DP0365,2025-01-30,15:29:25,562.41,,3.8,562.41,2025-01-30 15:29:25,2025-01-31 22:03:25
ORD01003734,CUST00249,REST0160,DP0029,28/01/2025,19:09:24,367.2,38,5.0,367.2,2025-01-28 19:09:24,2025-01-29 15:47:24
ORD01006714,CUST00058,REST0219,DP0317,Jan 10 2025,21:29:23,,35,3.4,705.3,2025-01-10 21:29:23,2025-01-13 19:19:23
ORD01004281,CUST00254,REST0220,DP0153,Jan 02 2025,17:02:45,682.12,,,682.12,2025-01-02 17:02:45,2025-01-04 06:19:45
ORD01000835,CUST00066,RESTX9796,DP0141,2025-01-27,21:23:06,413.01,58,,413.01,2025-01-27 21:23:06,2025-01-30 01:34:06
ORD01004202,CUSTX90147,RESTX9436,DP0357,Jan 26 2025,23:04:58,480.89,,4.3,480.89,2025-01-26 23:04:58,2025-01-27 01:08:58
ORD01001483,CUST00679,REST0218,DP0292,21/01/2025,14:26:37,,42,4.2,605.05,2025-01-21 14:26:37,2025-01-23 03:32:37
ORD01000009,CUST01083,REST0185,DP0180,2025-01-04,16:54:13,378.57,76,3.9,378.57,2025-01-04 16:54:13,2025-01-05 03:56:13
ORD01000019,CUST00581,REST0189,DP0411,01/01/2025,22:48:31,651.75,44,4.3,651.75,2025-01-01 22:48:31,2025-01-02 15:58:31
ORD01002405,CUST00860,REST0097,DP0277,2025-01-10,22:05:45,577.16,56,5.0,577.16,2025-01-10 22:05:45,2025-01-13 07:35:45
ORD01001441,CUST00583,REST0111,DP0278,Jan 02 2025,22:46:54,482.55,75,,482.55,2025-01-02 22:46:54,2025-01-03 10:56:54
ORD01005008,CUST00480,REST0181,DP0222,Jan 27 2025,20:20:15,926.57,,5.0,926.57,2025-01-27 20:20:15,2025-01-29 02:29:15
ORD01004407,CUSTX98433,REST0250,DP0380,2025-01-09,12:28:35,458.27,48,3.7,458.27,2025-01-09 12:28:35,2025-01-10 21:47:35
ORD01006989,CUST00405,REST0229,DP0056,2025/01/08,19:51:43,316.52,78,4.3,316.52,2025-01-08 19:51:43,2025-01-10 13:33:43
ORD01007615,CUST00687,REST0041,DP0384,2025/01/31,15:17:20,476.64,,4.6,476.64,2025-01-31 15:17:20,2025-02-01 17:56:20
ORD01005423,CUST00166,REST0069,DP0405,2025-01-28,20:56:11,,33,3.7,435.28,2025-01-28 20:56:11,2025-01-29 12:19:11
ORD01007415,CUST01086,REST0092,DP0294,2025/01/07,15:26:19,222.86,,3.9,222.86,2025-01-07 15:26:19,2025-01-08 16:53:19
ORD01001081,CUST00445,REST0142,DP0291,2025/01/06,13:32:54,524.93,,4.7,524.93,2025-01-06 13:32:54,2025-01-08 00:25:54
ORD01003558,CUST00608,REST0089,DP0413,2025/01/03,16:36:16,259.87,32,,259.87,2025-01-03 16:36:16,2025-01-04 03:25:16
ORD01003295,CUST00798,REST0093,DP0442,28/01/2025,12:44:53,389.83,,,389.83,2025-01-28 12:44:53,2025-01-29 16:07:53
ORD01000553,CUST00363,REST0026,DP0050,03/01/2025,19:18:09,,26,4.3,139.64,2025-01-03 19:18:09,2025-01-05 15:13:09
ORD01007152,CUST00687,REST0041,DP0183,2025/01/13,22:45:56,,60,,446.95,2025-01-13 22:45:56,2025-01-15 21:37:56
ORD01000720,CUST00157,REST0033,DP0124,2025-01-15,23:16:38,299.15,34,5.0,299.15,2025-01-15 23:16:38,2025-01-17 22:21:38
ORD01001322,CUST00576,REST0150,DP0308,13/01/2025,19:31:55,309.14,47,,309.14,2025-01-13 19:31:55,2025-01-15 17:51:55
ORD01004069,CUST00126,REST0231,DP0413,2025/01/26,14:17:44,414.34,52,4.5,414.34,2025-01-26 14:17:44,2025-01-26 16:52:44
ORD01002201,CUST00303,REST0201,DP0381,Jan 09 2025,13:01:29,,,4.1,145.83,2025-01-09 13:01:29,2025-01-09 15:53:29
ORD01003533,CUST00643,REST0062,DP0193,15/01/2025,16:56:42,396.3,22,,396.3,2025-01-15 16:56:42,2025-01-18 05:42:42
ORD01007058,CUST00360,REST0092,DP0357,26/01/2025,12:19:03,,38,,502.09,2025-01-26 12:19:03,2025-01-27 11:52:03
ORD01003755,CUST01035,REST0063,DP0189,2025-01-02,19:38:55,321.38,49,4.5,321.38,2025-01-02 19:38:55,2025-01-03 15:46:55
ORD01003367,CUST00034,RESTX9405,DP0440,Jan 16 2025,20:40:39,648.22,28,4.0,648.22,2025-01-16 20:40:39,2025-01-17 11:49:39
ORD01004690,CUST00941,REST0195,DP0311,2025-01-17,15:15:33,,12,2.4,512.17,2025-01-17 15:15:33,2025-01-19 01:31:33
ORD01003395,CUST00243,REST0230,DP0326,2025/01/13,09:01:09,655.09,38,3.9,655.09,2025-01-13 09:01:09,2025-01-14 05:23:09
ORD01003796,CUST00401,REST0146,DP0208,Jan 29 2025,19:26:19,537.32,61,3.1,537.32,2025-01-29 19:26:19,2025-01-30 16:12:19
ORD01006767,CUST01043,REST0168,DP0275,2025/01/15,15:54:24,,,,294.64,2025-01-15 15:54:24,2025-01-17 22:09:24
ORD01005870,CUST00750,REST0122,DP0319,05/01/2025,13:24:04,501.0,45,3.9,501.0,2025-01-05 13:24:04,2025-01-07 14:20:04
ORD01004852,CUST00705,REST0265,DP0354,2025/01/30,22:49:42,330.31,48,4.1,330.31,2025-01-30 22:49:42,2025-02-01 15:45:42
ORD01004379,CUST00417,RESTX9017,DP0399,2025-01-04,10:53:02,,42,3.3,463.76,2025-01-04 10:53:02,2025-01-05 10:59:02
ORD01000460,CUST00865,REST0037,DP0201,Jan 11 2025,19:24:52,,32,4.1,634.31,2025-01-11 19:24:52,2025-01-14 11:42:52
ORD01005386,CUST00673,REST0176,DP0254,2025-01-11,21:52:00,467.38,43,,467.38,2025-01-11 21:52:00,2025-01-12 18:53:00
ORD01007150,CUST00507,REST0226,DP0463,2025/01/13,19:59:00,557.25,42,4.5,557.25,2025-01-13 19:59:00,2025-01-14 00:54:00
ORD01003465,CUST00197,REST0136,DP0276,2025-01-09,23:53:38,579.95,54,4.9,579.95,2025-01-09 23:53:38,2025-01-12 08:11:38
ORD01007218,CUST00260,REST0024,DP0130,20/01/2025,15:04:15,,46,5.0,356.57,2025-01-20 15:04:15,2025-01-20 15:40:15
ORD01007184,CUST00602,REST0121,DP0377,Jan 20 2025,20:23:05,346.79,41,,346.79,2025-01-20 20:23:05,2025-01-23 17:56:05
ORD01005071,CUST00830,REST0130,DP0453,2025/01/20,10:39:34,429.48,41,4.0,429.48,2025-01-20 10:39:34,2025-01-21 16:01:34
ORD01006370,CUST00235,REST0285,DP0167,2025-01-29,10:58:30,153.07,46,,153.07,2025-01-29 10:58:30,2025-01-31 02:23:30
ORD01002181,CUST00574,REST0142,DP0385,18/01/2025,18:20:48,604.99,,3.8,604.99,2025-01-18 18:20:48,2025-01-18 22:05:48
ORD01000021,CUST01015,REST0061,DP0060,10/01/2025,20:16:42,640.38,,,640.38,2025-01-10 20:16:42,2025-01-12 05:30:42
ORD01002431,CUST01030,REST0265,DP0215,16/01/2025,19:47:02,484.71,,4.1,484.71,2025-01-16 19:47:02,2025-01-18 13:05:02
ORD01004766,CUST00307,REST0185,DP0262,29/01/2025,22:47:13,752.32,60,4.0,752.32,2025-01-29 22:47:13,2025-01-31 02:22:13
ORD01006686,CUST00679,REST0116,DP0184,2025/01/13,22:25:49,721.22,45,,721.22,2025-01-13 22:25:49,2025-01-15 13:21:49
ORD01000334,CUST00406,REST0275,DP0179,31/01/2025,20:13:45,332.21,34,,332.21,2025-01-31 20:13:45,2025-02-03 02:19:45
ORD01003459,CUST00582,REST0083,DP0151,21/01/2025,21:45:43,694.1,33,,694.1,2025-01-21 21:45:43,2025-01-23 18:37:43
ORD01005469,CUST00116,REST0222,DP0119,Jan 10 2025,12:43:39,459.59,44,,459.59,2025-01-10 12:43:39,2025-01-11 00:50:39
ORD01007524,CUST00052,REST0029,DP0089,Jan 02 2025,23:31:45,234.91,12,,234.91,2025-01-02 23:31:45,2025-01-04 20:24:45
