order_id,customer_id,restaurant_id,partner_id,order_date,order_time,order_amount,delivery_time,rating,payment_amount,created_at,updated_at,promo_code
ORD02000160,CUST00544,REST0148,DP0150,2025-02-11,12:33:32,690.89,42,3.8,690.89,2025-02-11 12:33:32,2025-02-12 18:56:32,WEEKEND75
ORD02007802,CUST00745,REST0177,DP0390,10/02/2025,19:45:02,424.21,,3.8,424.21,2025-02-10 19:45:02,2025-02-12 11:41:02,WELCOME100
ORD02004577,CUST00168,REST0055,DP0053,Feb 19 2025,09:51:09,557.94,24,4.4,557.94,2025-02-19 09:51:09,2025-02-21 08:09:09,WEEKEND75
ORD02000651,CUST00290,REST0054,DP0140,Feb 02 2025,20:58:20,462.82,60,3.6,462.82,2025-02-02 20:58:20,2025-02-04 14:57:20,NEWUSER
ORD02002058,CUST00234,REST0155,DP0097,2025-02-15,14:57:46,388.13,55,,388.13,2025-02-15 14:57:46,2025-02-17 19:17:46,FREESHIP
ORD02006483,CUST00459,REST0250,DP0075,Feb 28 2025,13:10:33,1069.55,28,,1069.55,2025-02-28 13:10:33,2025-03-02 05:07:33,SAVE50
ORD02001780,CUSTX93650,REST0086,DP0272,20/02/2025,23:55:01,250.52,15,3.9,250.52,2025-02-20 23:55:01,2025-02-22 01:09:01,NEWUSER
ORD02005958,CUST00227,REST0102,DP0108,Feb 24 2025,13:51:37,606.23,25,2.8,606.23,2025-02-24 13:51:37,2025-02-26 06:55:37,FREESHIP
ORD02003859,CUST00020,REST0075,DP0182,2025/02/19,19:41:59,477.01,60,4.7,477.01,2025-02-19 19:41:59,2025-02-22 13:07:59,
ORD02006395,CUST01103,REST0098,DP0291,Feb 22 2025,18:30:52,,16,,79.0,2025-02-22 18:30:52,2025-02-23 13:16:52,WELCOME100
ORD02001559,CUST01060,REST0256,DP0202,2025/02/02,08:10:34,1044.48,64,4.5,1044.48,2025-02-02 08:10:34,2025-02-04 17:37:34,WEEKEND75
ORD02006326,CUST00858,REST0273,DP0176,13/02/2025,22:26:27,,39,,258.79,2025-02-13 22:26:27,2025-02-16 19:31:27,
ORD02007395,CUST00477,REST0242,DP0411,Feb 27 2025,12:13:45,396.45,54,4.6,396.45,2025-02-27 12:13:45,2025-02-28 03:58:45,
ORD02003778,CUST00810,REST0263,DPX9678,2025-02-09,16:15:21,555.4,44,4.4,555.4,2025-02-09 16:15:21,2025-02-12 02:10:21,WELCOME100
ORD02006256,CUST00863,REST0117,DP0435,Feb 18 2025,23:25:27,,,,312.97,2025-02-18 23:25:27,2025-02-20 08:32:27,NEWUSER
ORD02001696,CUSTX98426,REST0262,DP0051,Feb 02 2025,07:19:38,,,3.6,378.79,2025-02-02 07:19:38,2025-02-03 10:21:38,FREESHIP
ORD02004242,CUST00116,REST0166,DP0365,Feb 27 2025,14:46:28,659.7,,3.0,659.7,2025-02-27 14:46:28,2025-02-28 08:17:28,WEEKEND75
ORD02000640,CUST00437,REST0208,DP0059,2025-02-10,14:54:52,,42,,389.36,2025-02-10 14:54:52,2025-02-13 10:40:52,FREESHIP
ORD02007393,CUST00496,REST0258,DP0439,2025-02-23,20:51:52,,63,3.3,165.0,2025-02-23 20:51:52,2025-02-24 14:01:52,SAVE50
ORD02000850,CUST00271,REST0054,DP0107,Feb 16 2025,18:30:20,558.37,46,4.7,558.37,2025-02-16 18:30:20,2025-02-19 10:48:20,
ORD02006194,CUST00119,RESTX9047,DP0067,2025-02-19,14:56:06,471.29,,3.4,471.29,2025-02-19 14:56:06,2025-02-20 01:30:06,
ORD02002845,CUST00778,REST0151,DP0308,2025/02/24,19:23:41,,55,,339.36,2025-02-24 19:23:41,2025-02-24 21:12:41,NEWUSER
ORD02003379,CUSTX96525,REST0165,DP0444,01/02/2025,16:36:18,NA,,3.8,79.0,2025-02-01 16:36:18,2025-02-04 13:26:18,DINNERDEAL
ORD02005319,CUST00513,REST0109,DP0125,2025/02/11,22:44:35,617.99,52,,617.99,2025-02-11 22:44:35,2025-02-14 04:04:35,DINNERDEAL
ORD02001937,CUST00739,REST0174,DP0007,11/02/2025,19:47:27,NA,,,461.72,2025-02-11 19:47:27,2025-02-14 08:00:27,NEWUSER
ORD02006241,CUST00732,REST0112,DP0383,2025-02-09,23:34:45,594.58,36,3.0,594.58,2025-02-09 23:34:45,2025-02-11 05:54:45,FREESHIP
ORD02004418,CUST00461,REST0010,DP0213,Feb 03 2025,13:47:18,,12,,187.87,2025-02-03 13:47:18,2025-02-03 15:52:18,WELCOME100
ORD02004591,CUST00441,REST0239,DP0054,2025/02/28,21:25:06,564.18,56,4.0,564.18,2025-02-28 21:25:06,2025-03-01 07:40:06,SAVE50
ORD02007553,CUST00739,REST0203,DP0177,24/02/2025,18:40:49,80.42,46,,80.42,2025-02-24 18:40:49,2025-02-27 17:53:49,SAVE50
ORD02000601,CUST00868,RESTX9347,DP0046,19/02/2025,14:46:11,576.4,-47,5.0,576.4,2025-02-19 14:46:11,2025-02-20 03:39:11,SAVE50
ORD02005426,CUST00050,REST0128,DP0282,2025-02-04,13:45:48,399.4,,2.3,399.4,2025-02-04 13:45:48,2025-02-06 04:54:48,SAVE50
ORD02001289,CUST00412,REST0037,DP0220,2025-02-24,08:19:25,302.87,41,3.5,302.87,2025-02-24 08:19:25,2025-02-27 03:00:25,DINNERDEAL
ORD02004554,CUST00099,REST0014,DP0418,2025/02/10,17:51:40,671.26,43,4.6,671.26,2025-02-10 17:51:40,2025-02-13 17:49:40,WEEKEND75
ORD02002389,CUST00642,REST0236,DP0175,17/02/2025,20:48:31,440.17,41,3.6,440.17,2025-02-17 20:48:31,2025-02-18 07:38:31,DINNERDEAL
ORD02001550,CUST00995,REST0289,DP0284,2025-02-17,12:32:16,551.42,45,3.9,551.42,2025-02-17 12:32:16,2025-02-18 18:01:16,WEEKEND75
ORD02003031,CUST00588,REST0156,DP0236,Feb 11 2025,12:37:36,592.64,45,0.6,592.64,2025-02-11 12:37:36,2025-02-13 18:56:36,
ORD02006654,CUST00486,REST0176,DP0428,2025/02/22,20:59:48,545.96,71,-0.5,545.96,2025-02-22 20:59:48,2025-02-23 12:31:48,
ORD02003119,CUST00857,REST0254,DP0119,2025/02/21,10:49:59,,,5.0,369.12,2025-02-21 10:49:59,2025-02-22 06:33:59,DINNERDEAL
ORD02003889,CUST00990,REST0094,DP0405,12/02/2025,10:16:38,580.39,-56,4.4,580.39,2025-02-12 10:16:38,2025-02-13 23:54:38,NEWUSER
ORD02003471,CUST00353,REST0049,DP0181,Feb 02 2025,20:28:23,322.49,53,4.4,322.49,2025-02-02 20:28:23,2025-02-05 13:50:23,DINNERDEAL
ORD02002394,CUST00836,REST0289,DP0325,Feb 03 2025,19:46:10,367.11,44,,367.11,2025-02-03 19:46:10,2025-02-05 00:42:10,DINNERDEAL
ORD02001359,CUST00993,REST0014,DP0198,Feb 05 2025,20:41:41,225.44,43,3.1,225.44,2025-02-05 20:41:41,2025-02-07 10:59:41,FREESHIP
ORD02007877,CUST00735,REST0199,DP0052,Feb 05 2025,21:43:42,294.44,21,4.0,294.44,2025-02-05 21:43:42,2025-02-07 19:30:42,WEEKEND75
ORD02000332,CUST00569,REST0073,DP0066,2025-02-15,21:22:28,585.58,60,3.8,585.58,2025-02-15 21:22:28,2025-02-18 00:44:28,DINNERDEAL
ORD02007836,CUST00365,REST0160,DPX9731,2025/02/28,21:54:19,660.17,,4.5,660.17,2025-02-28 21:54:19,2025-03-03 10:41:19,WELCOME100
ORD02005796,CUST01073,REST0200,DP0237,17/02/2025,12:09:09,,,4.4,474.4,2025-02-17 12:09:09,2025-02-18 02:50:09,NEWUSER
ORD02003146,CUST00620,REST0093,DP0300,Feb 11 2025,22:40:43,,,5.0,192.75,2025-02-11 22:40:43,2025-02-13 09:51:43,DINNERDEAL
ORD02005811,CUST00865,REST0199,DP0381,02/02/2025,16:00:40,,,4.5,299.18,2025-02-02 16:00:40,2025-02-03 03:28:40,WELCOME100
ORD02006291,CUST00742,REST0171,DP0418,2025/02/26,13:51:15,478.71,,4.4,478.71,2025-02-26 13:51:15,2025-02-28 00:57:15,
ORD02001221,CUST00648,REST0169,DP0383,2025-02-13,21:12:42,362.86,,5.0,362.86,2025-02-13 21:12:42,2025-02-15 16:05:42,DINNERDEAL
ORD02006610,CUSTX99060,REST0122,DP0014,18/02/2025,08:09:31,255.01,13,3.8,255.01,2025-02-18 08:09:31,2025-02-18 11:42:31,WEEKEND75
ORD02005191,CUST00801,REST0175,DP0174,2025/02/03,16:38:08,,,4.4,273.31,2025-02-03 16:38:08,2025-02-05 05:57:08,WELCOME100
ORD02000785,CUST00803,REST0231,DP0057,04/02/2025,14:26:49,269.84,,3.8,269.84,2025-02-04 14:26:49,2025-02-05 02:49:49,SAVE50
ORD02003502,CUST00142,REST0186,DP0393,2025-02-21,22:46:04,-532.11,43,4.0,325.96,2025-02-21 22:46:04,2025-02-24 13:40:04,WEEKEND75
ORD02000768,CUST00778,REST0207,DP0235,Feb 13 2025,22:30:03,426.33,54,3.8,426.33,2025-02-13 22:30:03,2025-02-15 16:40:03,DINNERDEAL
ORD02004969,CUST00477,REST0048,DP0296,Feb 14 2025,19:42:48,584.98,43,5.0,584.98,2025-02-14 19:42:48,2025-02-16 02:54:48,DINNERDEAL
ORD02005500,CUST00406,REST0195,DP0463,2025/02/03,14:42:35,500.38,72,4.0,500.38,2025-02-03 14:42:35,2025-02-05 21:23:35,NEWUSER
ORD02007250,CUST00406,REST0150,DP0061,01/02/2025,17:09:24,267.91,44,3.9,267.91,2025-02-01 17:09:24,2025-02-02 14:02:24,NEWUSER
ORD02000510,CUST00005,REST0152,DP0140,2025/02/18,19:01:50,423.15,42,3.1,423.15,2025-02-18 19:01:50,2025-02-19 17:44:50,
ORD02005289,CUST01137,REST0034,DP0412,Feb 22 2025,15:12:21,602.04,60,4.6,602.04,2025-02-22 15:12:21,2025-02-24 21:30:21,WEEKEND75
ORD02007506,CUSTX98608,REST0032,DP0210,Feb 15 2025,20:48:09,345.08,51,3.7,345.08,2025-02-15 20:48:09,2025-02-16 06:03:09,
ORD02004998,CUST00310,REST0065,DP0453,12/02/2025,21:35:20,563.51,38,4.3,563.51,2025-02-12 21:35:20,2025-02-13 00:12:20,NEWUSER
ORD02007059,CUST00285,REST0289,DP0280,24/02/2025,12:18:08,519.34,42,,519.34,2025-02-24 12:18:08,2025-02-25 13:55:08,SAVE50
ORD02004335,CUST00608,REST0181,DP0315,2025-02-12,19:38:29,754.47,24,,754.47,2025-02-12 19:38:29,2025-02-14 04:55:29,
ORD02002290,CUST00854,REST0133,DPX9074,2025/02/12,07:24:22,363.35,46,3.7,363.35,2025-02-12 07:24:22,2025-02-14 17:29:22,
ORD02000549,CUST00791,REST0257,DP0191,15/02/2025,22:50:16,702.31,56,,702.31,2025-02-15 22:50:16,2025-02-17 08:57:16,WEEKEND75
ORD02000887,CUST01018,REST0238,DP0221,Feb 08 2025,13:35:54,,29,3.7,640.31,2025-02-08 13:35:54,2025-02-08 16:33:54,SAVE50
ORD02003885,CUST00108,REST0279,DP0436,2025-02-11,19:04:23,444.91,,3.7,444.91,2025-02-11 19:04:23,2025-02-11 23:28:23,WELCOME100
ORD02007742,CUST00585,REST0240,DP0213,18/02/2025,15:58:47,234.05,31,3.9,234.05,2025-02-18 15:58:47,2025-02-19 04:55:47,SAVE50
ORD02007141,CUSTX99998,REST0131,DP0202,2025/02/18,15:01:50,280.19,,4.3,280.19,2025-02-18 15:01:50,2025-02-19 07:19:50,NEWUSER
ORD02005728,CUST00420,REST0159,DP0431,2025-02-12,20:33:50,,53,3.7,590.3,2025-02-12 20:33:50,2025-02-13 09:49:50,SAVE50
ORD02004690,CUST00423,REST0013,DP0439,Feb 27 2025,14:57:29,540.14,55,5.0,540.14,2025-02-27 14:57:29,2025-03-01 00:22:29,WELCOME100
ORD02004904,CUST01134,REST0068,DP0180,2025-02-05,14:10:05,377.39,42,5.0,377.39,2025-02-05 14:10:05,2025-02-07 20:39:05,NEWUSER
ORD02002057,CUST00271,REST0253,DP0059,2025/02/18,20:53:11,,44,3.5,302.56,2025-02-18 20:53:11,2025-02-19 01:34:11,FREESHIP
ORD02000088,CUST00078,REST0121,DP0444,11/02/2025,16:20:09,367.52,43,4.7,367.52,2025-02-11 16:20:09,2025-02-13 21:54:09,NEWUSER
ORD02001005,CUST00686,REST0256,DP0245,22/02/2025,09:39:51,556.73,48,,556.73,2025-02-22 09:39:51,2025-02-23 09:06:51,DINNERDEAL
ORD02003305,CUST00691,REST0105,DP0472,09/02/2025,21:03:31,645.3,57,4.6,645.3,2025-02-09 21:03:31,2025-02-10 17:49:31,
ORD02004955,CUST00878,REST0239,DP0079,Feb 03 2025,18:25:58,,31,0.5,565.08,2025-02-03 18:25:58,2025-02-04 10:25:58,DINNERDEAL
ORD02001255,CUST01135,REST0170,DP0442,2025/02/19,20:52:48,,68,,374.82,2025-02-19 20:52:48,2025-02-21 20:17:48,SAVE50
ORD02002262,CUST00603,REST0246,DP0417,2025/02/03,19:24:59,,,3.6,407.75,2025-02-03 19:24:59,2025-02-06 09:55:59,DINNERDEAL
ORD02002716,CUST00673,REST0253,DP0181,2025/02/18,18:57:08,420.7,40,5.0,420.7,2025-02-18 18:57:08,2025-02-21 06:40:08,WEEKEND75
ORD02003683,CUST00988,REST0090,DP0178,2025/02/07,20:44:04,598.47,,4.5,598.47,2025-02-07 20:44:04,2025-02-10 17:15:04,SAVE50
ORD02002399,CUST00219,REST0255,DP0437,05/02/2025,20:00:13,,53,5.0,433.06,2025-02-05 20:00:13,2025-02-07 02:08:13,WELCOME100
ORD02000567,CUST00834,REST0281,DP0095,Feb 23 2025,18:21:22,,48,3.8,330.25,2025-02-23 18:21:22,2025-02-25 11:00:22,NEWUSER
ORD02006698,CUST00374,REST0078,DP0461,2025-02-09,23:37:34,405.48,23,,405.48,2025-02-09 23:37:34,2025-02-12 17:58:34,FREESHIP
ORD02007503,CUST00437,REST0223,DP0108,05/02/2025,21:30:24,647.88,58,4.4,647.88,2025-02-05 21:30:24,2025-02-08 19:10:24,FREESHIP
ORD02001922,CUST00976,REST0140,DP0087,2025-02-03,17:14:52,284.6,43,3.8,284.6,2025-02-03 17:14:52,2025-02-04 16:46:52,WELCOME100
ORD02005868,CUST00453,REST0270,DP0312,Feb 24 2025,13:11:49,,18,4.2,79.0,2025-02-24 13:11:49,2025-02-27 09:06:49,NEWUSER
ORD02005884,CUST01091,REST0204,DP0404,Feb 05 2025,18:30:52,,62,3.3,457.58,2025-02-05 18:30:52,2025-02-08 15:39:52,DINNERDEAL
ORD02001856,CUST00867,REST0253,DP0033,2025-02-17,21:38:41,553.48,30,,553.48,2025-02-17 21:38:41,2025-02-19 12:20:41,
ORD02001273,CUST00559,REST0165,DP0335,Feb 24 2025,14:53:20,311.7,43,4.4,311.7,2025-02-24 14:53:20,2025-02-26 19:31:20,WELCOME100
ORD02007000,CUST00234,REST0279,DP0379,2025/02/10,12:14:15,,35,3.0,178.86,2025-02-10 12:14:15,2025-02-12 23:03:15,NEWUSER
ORD02005047,CUST00516,REST0101,DP0175,2025-02-03,08:10:02,544.0,26,4.7,544.0,2025-02-03 08:10:02,2025-02-04 20:20:02,FREESHIP
ORD02000352,CUST00191,REST0160,DP0249,2025-02-24,15:55:07,,-39,3.2,442.32,2025-02-24 15:55:07,2025-02-27 09:07:07,SAVE50
ORD02002029,CUST00910,REST0281,DP0440,2025-02-01,17:20:04,460.64,35,5.0,460.64,2025-02-01 17:20:04,2025-02-04 03:16:04,FREESHIP
ORD02003842,CUST00202,REST0106,DP0286,2025-02-27,21:32:18,651.71,57,,651.71,2025-02-27 21:32:18,2025-03-01 05:22:18,WEEKEND75
ORD02001013,CUST00473,REST0175,DP0105,2025-02-11,15:48:23,219.73,,5.0,219.73,2025-02-11 15:48:23,2025-02-13 18:06:23,SAVE50
ORD02007771,CUST00228,REST0163,DPX9089,2025/02/17,20:05:33,868.91,57,3.3,868.91,2025-02-17 20:05:33,2025-02-17 20:51:33,DINNERDEAL
ORD02001001,CUST00400,REST0043,DP0095,2025-02-10,10:04:24,687.82,,4.9,687.82,2025-02-10 10:04:24,2025-02-12 05:18:24,FREESHIP
ORD02001315,CUST01046,REST0002,DP0482,Feb 10 2025,22:51:26,302.85,60,6.4,302.85,2025-02-10 22:51:26,2025-02-12 10:07:26,WEEKEND75
ORD02001829,CUST00537,RESTX9342,DP0014,2025-02-27,13:54:13,110.61,59,,110.61,2025-02-27 13:54:13,2025-03-01 09:09:13,NEWUSER
ORD02000973,CUST00768,REST0159,DP0500,Feb 16 2025,12:36:16,527.2,47,,527.2,2025-02-16 12:36:16,2025-02-17 17:26:16,DINNERDEAL
ORD02002742,CUST00560,REST0068,DP0008,Feb 28 2025,14:20:25,566.4,22,-0.2,566.4,2025-02-28 14:20:25,2025-03-02 00:28:25,FREESHIP
ORD02003935,CUST00644,REST0286,DP0182,Feb 14 2025,21:32:48,369.7,54,3.2,369.7,2025-02-14 21:32:48,2025-02-17 01:04:48,WEEKEND75
ORD02005683,CUST00906,REST0172,DP0254,Feb 14 2025,12:45:06,441.17,,,441.17,2025-02-14 12:45:06,2025-02-17 03:13:06,FREESHIP
ORD02007541,CUST00187,REST0196,DP0476,2025-02-23,15:25:41,572.29,61,3.8,572.29,2025-02-23 15:25:41,2025-02-25 22:44:41,WELCOME100
ORD02004614,CUST00344,REST0276,DP0464,19/02/2025,14:18:54,652.78,44,5.0,652.78,2025-02-19 14:18:54,2025-02-20 15:47:54,WELCOME100
ORD02006340,CUST00892,REST0068,DP0437,08/02/2025,19:18:46,555.37,38,,555.37,2025-02-08 19:18:46,2025-02-11 18:23:46,NEWUSER
ORD02004487,CUST00578,REST0223,DPX9076,Feb 26 2025,12:45:54,381.45,25,4.3,381.45,2025-02-26 12:45:54,2025-02-27 08:46:54,WELCOME100
ORD02004302,CUST00230,REST0082,DP0167,2025-02-22,15:23:47,,51,3.9,299.49,2025-02-22 15:23:47,2025-02-23 06:54:47,NEWUSER
ORD02002647,CUST00042,REST0063,DP0481,2025-02-13,17:18:52,,65,4.9,669.24,2025-02-13 17:18:52,2025-02-15 12:52:52,WELCOME100
ORD02000452,CUST00324,REST0044,DP0136,Feb 28 2025,21:30:35,734.74,27,3.8,734.74,2025-02-28 21:30:35,2025-03-01 09:52:35,
ORD02005119,CUST00992,REST0219,DP0362,2025-02-07,12:07:48,302.28,36,4.5,302.28,2025-02-07 12:07:48,2025-02-10 05:54:48,SAVE50
ORD02001465,CUST00856,REST0155,DP0125,08/02/2025,23:40:26,321.2,46,3.7,321.2,2025-02-08 23:40:26,2025-02-09 17:20:26,WEEKEND75
ORD02003167,CUST01111,REST0134,DP0289,2025-02-12,15:55:23,NA,45,,247.13,2025-02-12 15:55:23,2025-02-15 04:06:23,DINNERDEAL
ORD02000572,CUST00433,REST0189,DP0242,2025/02/12,16:04:33,,19,3.8,414.78,2025-02-12 16:04:33,2025-02-15 05:09:33,
ORD02003111,CUST00004,REST0098,DP0140,Feb 14 2025,21:56:29,470.77,49,4.1,470.77,2025-02-14 21:56:29,2025-02-16 23:05:29,WEEKEND75
ORD02006141,CUST00573,REST0217,DP0204,18/02/2025,07:22:34,526.92,80,3.5,526.92,2025-02-18 07:22:34,2025-02-20 14:32:34,WELCOME100
ORD02000208,CUST00826,REST0149,DP0163,2025/02/07,12:14:16,,,3.2,215.24,2025-02-07 12:14:16,2025-02-08 16:31:16,FREESHIP
ORD02007037,CUST00184,REST0045,DP0080,Feb 18 2025,12:43:04,690.24,,5.0,690.24,2025-02-18 12:43:04,2025-02-20 05:51:04,WELCOME100
ORD02002174,CUST00352,REST0218,DP0474,Feb 02 2025,12:50:51,640.35,32,5.0,640.35,2025-02-02 12:50:51,2025-02-04 05:59:51,SAVE50
ORD02004737,CUST00218,REST0041,DP0493,11/02/2025,07:12:45,493.56,41,3.7,493.56,2025-02-11 07:12:45,2025-02-13 11:14:45,NEWUSER
ORD02003445,CUST00744,REST0188,DP0144,2025-02-16,20:52:30,,65,,249.67,2025-02-16 20:52:30,2025-02-18 06:41:30,SAVE50
ORD02004036,CUSTX98135,REST0148,DP0271,Feb 27 2025,08:38:27,493.58,,4.8,493.58,2025-02-27 08:38:27,2025-03-01 05:21:27,NEWUSER
ORD02004000,CUST00473,REST0136,DPX9446,Feb 02 2025,18:20:39,748.87,42,,748.87,2025-02-02 18:20:39,2025-02-05 13:03:39,WELCOME100
ORD02000726,CUST01042,REST0251,DP0381,17/02/2025,13:24:45,,45,5.0,152.01,2025-02-17 13:24:45,2025-02-19 04:02:45,DINNERDEAL
ORD02001632,CUST00981,REST0178,DP0318,2025/02/28,19:59:35,,55,3.8,441.0,2025-02-28 19:59:35,2025-03-01 10:15:35,WEEKEND75
ORD02003768,CUST00524,REST0199,DP0148,2025-02-07,19:53:15,,58,3.2,496.1,2025-02-07 19:53:15,2025-02-10 18:34:15,FREESHIP
ORD02001280,CUST00833,REST0197,DP0263,24/02/2025,20:06:08,,38,3.8,471.92,2025-02-24 20:06:08,2025-02-25 02:09:08,DINNERDEAL
ORD02006027,CUST00886,REST0057,DP0085,2025/02/09,21:43:25,541.84,53,4.6,541.84,2025-02-09 21:43:25,2025-02-10 09:23:25,
ORD02000838,CUST00415,REST0210,DP0167,2025-02-22,23:18:22,,49,5.0,350.7,2025-02-22 23:18:22,2025-02-23 06:47:22,DINNERDEAL
ORD02004769,CUST00901,REST0104,DP0003,16/02/2025,22:18:10,,78,3.9,217.61,2025-02-16 22:18:10,2025-02-17 18:15:10,FREESHIP
ORD02000093,CUST00913,REST0127,DP0423,2025-02-05,13:24:08,,36,4.0,79.0,2025-02-05 13:24:08,2025-02-06 05:43:08,NEWUSER
ORD02006000,CUST00568,REST0238,DP0109,21/02/2025,14:24:56,266.23,40,4.5,266.23,2025-02-21 14:24:56,2025-02-23 15:13:56,WELCOME100
ORD02004407,CUST00756,REST0080,DP0188,26/02/2025,16:08:20,,52,3.6,383.27,2025-02-26 16:08:20,2025-02-28 22:49:20,
ORD02001959,CUST00951,REST0001,DP0188,Feb 24 2025,20:37:47,618.59,45,2.6,618.59,2025-02-24 20:37:47,2025-02-26 12:40:47,
ORD02003667,CUST00663,REST0255,DP0117,08/02/2025,23:24:12,,,5.0,612.58,2025-02-08 23:24:12,2025-02-11 00:43:12,WELCOME100
ORD02002000,CUST00254,REST0011,DP0342,2025-02-23,15:49:13,601.67,42,4.4,601.67,2025-02-23 15:49:13,2025-02-24 05:34:13,WELCOME100
ORD02005690,CUST00466,REST0014,DP0145,2025/02/16,14:25:52,497.2,30,4.3,497.2,2025-02-16 14:25:52,2025-02-17 10:07:52,FREESHIP
ORD02007427,CUST00916,REST0006,DP0423,Feb 14 2025,13:54:29,489.89,,3.9,489.89,2025-02-14 13:54:29,2025-02-17 06:25:29,WELCOME100
ORD02004920,CUST00937,REST0149,DP0276,2025-02-11,21:05:13,274.04,40,3.1,274.04,2025-02-11 21:05:13,2025-02-13 13:39:13,WEEKEND75
ORD02005116,CUST00842,REST0159,DP0187,2025-02-02,16:39:15,,,5.0,393.96,2025-02-02 16:39:15,2025-02-03 14:15:15,NEWUSER
ORD02003892,CUST00969,REST0196,DP0382,Feb 24 2025,21:51:19,584.41,,,584.41,2025-02-24 21:51:19,2025-02-25 11:44:19,FREESHIP
ORD02005376,CUST00179,REST0257,DPX9527,Feb 01 2025,13:13:28,680.74,27,5.0,680.74,2025-02-01 13:13:28,2025-02-02 19:52:28,
ORD02003712,CUST00957,REST0148,DP0124,2025-02-21,17:28:02,338.27,23,4.5,338.27,2025-02-21 17:28:02,2025-02-22 23:28:02,NEWUSER
ORD02005707,CUST00825,REST0277,DPX9386,Feb 02 2025,20:06:35,751.96,,,751.96,2025-02-02 20:06:35,2025-02-04 10:01:35,SAVE50
ORD02003145,CUSTX91599,REST0063,DP0288,Feb 25 2025,19:41:30,477.77,73,,477.77,2025-02-25 19:41:30,2025-02-27 13:55:30,SAVE50
ORD02006780,CUST00613,REST0047,DP0018,07/02/2025,19:43:55,,62,3.9,172.84,2025-02-07 19:43:55,2025-02-10 05:27:55,WEEKEND75
ORD02002145,CUST00462,REST0268,DP0178,2025-02-24,23:16:38,,38,,368.73,2025-02-24 23:16:38,2025-02-26 22:21:38,FREESHIP
ORD02006246,CUST00556,REST0173,DP0210,Feb 22 2025,10:49:22,364.27,52,4.8,364.27,2025-02-22 10:49:22,2025-02-25 00:18:22,SAVE50
ORD02007484,CUST00044,REST0227,DP0456,2025-02-28,09:32:17,426.84,44,4.5,426.84,2025-02-28 09:32:17,2025-02-28 20:53:17,WELCOME100
ORD02006588,CUST00476,REST0151,DP0258,2025/02/20,23:18:27,574.19,50,2.6,574.19,2025-02-20 23:18:27,2025-02-22 21:27:27,WELCOME100
ORD02005495,CUST00673,REST0262,DP0484,Feb 01 2025,08:48:15,,,,79.0,2025-02-01 08:48:15,2025-02-02 22:03:15,
ORD02005342,CUST00399,REST0211,DP0328,Feb 01 2025,18:39:18,222.13,13,4.7,222.13,2025-02-01 18:39:18,2025-02-01 23:32:18,SAVE50
ORD02005583,CUST00119,REST0241,DP0310,Feb 28 2025,20:40:14,NA,,3.7,435.69,2025-02-28 20:40:14,2025-03-02 11:20:14,DINNERDEAL
ORD02000514,CUST00650,REST0114,DP0389,Feb 21 2025,21:08:01,506.05,43,4.5,506.05,2025-02-21 21:08:01,2025-02-24 16:38:01,
ORD02003525,CUST00464,REST0125,DP0349,2025-02-12,16:24:21,195.45,35,4.0,195.45,2025-02-12 16:24:21,2025-02-15 06:39:21,NEWUSER
